,title,url,intro,paragraphs
0,Listen Up: Why It’s Better to Be Interested than Interesting,https://www.gsb.stanford.edu/insights/listen-why-its-better-be-interested-interesting,"In this episode, Alison Wood Brooks reveals the secret to having better conversations. As a communication expert, Alison Wood Brooks spends a lot of time talking about talking. But, as she says, listening is just as important. “My course is called TALK,” says Brooks, who is the O’Brien Associate Professor of Business Administration and Hellman Faculty Fellow at Harvard Business School. “The great irony is that it should really be called LISTEN. It’s hard to be a good listener yet so very important.” In the latest episode of Think Fast, Talk Smart, Brooks covers conversation strategies for active listening, turning anxiety into excitement, and knowing when it’s time to change the subject.",
1,Quick Thinks: Talk It Out – How to Successfully Negotiate and Resolve Conflict,https://www.gsb.stanford.edu/insights/quick-thinks-talk-it-out-how-successfully-negotiate-resolve-conflict,"Professor Michele Gelfand shares communication strategies for getting more of what you want. When it comes to negotiating and managing conflict, Michele Gelfand, professor of organizational behavior, says it’s time to get creative. Everybody has wants and needs. So what do we do when our priorities compete with those of other people? According to Gelfand, negotiations and conflict management are exercises in creative problem-solving, ones where we look for ways to not only get what we want, but for those on the other side of the table to get what they want too. “The best negotiators tend to be the most creative,” says Gelfand. Listen as Gelfand joins Matt Abrahams to discuss how creative communication can help us find solutions where everybody wins.",
2,Strategic Success: How to Communicate Your Gameplan,https://www.gsb.stanford.edu/insights/strategic-success-how-communicate-your-gameplan,"In this episode, Jesper Sørensen explores why organizational strategy can be both top-down and bottom-up. As Professor Jesper Sørensen sees it, a winning strategy is the result of conversations, not commands. Sørensen says strategy can be directed from the C-suite, but it doesn’t have to be. “Lots of great strategies are discovered,” he says, “they’re discovered because the leaders were able to listen to their frontline workers or their frontline managers.” A more iterative approach, says Sørensen, helps companies adapt their strategy to an ever-changing landscape. In the latest episode of Think Fast, Talk Smart, Sørensen joins host and lecturer Matt Abrahams to discuss how organizations can use better communication to craft better strategies.",
3,Keep ’Em Coming: Why Your First Ideas Aren’t Always the Best,https://www.gsb.stanford.edu/insights/keep-em-coming-why-your-first-ideas-arent-always-best,"In this episode, Jeremy Utley explains why good ideas are often preceded by not-so-good ideas. What’s the secret to coming up with good ideas? For Jeremy Utley, it’s about generating as many as possible. The director of executive education at the Stanford d.school, Utley says, “very few problems we face in business or in life have a single right answer.” All ideas — the good, the bad, and the ugly — are “a necessary input to an innovation process,” and an essential step in getting to solutions that will actually work. In this episode of Think Fast, Talk Smart, Utley and host Matt Abrahams explore how we can focus less on finding the “right” answer and open ourselves up to more innovative ideas.",
4,Feeling Nervous? How Anxiety Can Fuel Better Communication,https://www.gsb.stanford.edu/insights/feeling-nervous-how-anxiety-can-fuel-better-communication,"In this episode, lecturer Kelly McGonigal shares how stress and anxiety can be used to enhance our communication. Stress, anxiety, nervousness — when these feelings inevitably arise, lecturer Kelly McGonigal says it’s not about making them go away, but using them to your advantage. “What I have come to value about anxiety,” says McGonigal, “is it’s a sign that I care.” As she explains, feelings of stress alert us to things that matter to us and help us stay present in the moment — particularly useful, she says, when it comes to communication. In this episode of Think Fast, Talk Smart, McGonigal and host Matt Abrahams discuss how to channel stress toward more effective communication and a deeper connection to our own purpose and meaning.",
5,Directive Speech vs. Dialogue: Communicating Better as a Leader,https://www.gsb.stanford.edu/insights/directive-speech-vs-dialogue-communicating-better-leader,"In this episode, Dean Jon Levin shares his thoughts on the changing role of communication in business leadership. As the dean of Stanford Graduate School of Business, Dean Jon Levin knows the importance of crafting the right message and sharing it in the right way. But, as he says, one of the biggest challenges for any leader is to know what to communicate, and how. How do leaders strike the balance between being clear and directive, while, as Levin says, “leaving space for people to form their own opinions, to discuss ideas, to debate?” He joins host and lecturer of strategic communications Matt Abrahams to discuss on this episode of Think Fast, Talk Smart.",
6,What Is Normal? How Culture Affects Communication Styles,https://www.gsb.stanford.edu/insights/what-normal-how-culture-affects-communication-styles,"In this episode, Michele Gelfand explains why social norms are the glue that keeps cultures together. Why do we drive on only one side of the road? Why don’t we sing in libraries? Why wear a swimsuit? For Professor Michele Gelfand, it all comes down to culture. As a cross-cultural psychologist, Gelfand is fascinated by social environments and their effects on human behavior, particularly, how strictly people adhere to social norms. In this episode of Think Fast, Talk Smart, Gelfand joins host and lecturer of strategic communications Matt Abrahams to explain why some cultures are “tight” and “have strict social norms,” while others are “loose,” with “more permissibility of behavior.”",
7,Ties That Bind: Why Remote Teams Need the Right Connection,https://www.gsb.stanford.edu/insights/ties-bind-why-remote-teams-need-right-connection,"In this episode, Professor Glenn Carroll and his colleague Michael Arena discuss innovation in a hybrid work environment. “We need to be much more adaptive in the way we think about hybrid work. Experiment, experiment, experiment.” Innovation relies on teams connecting in very specific ways. But are those connections possible in a hybrid work reality? Glenn Carroll, professor of organizational behavior at Stanford GSB, and Michael Arena, faculty member at the University of Pennsylvania, have been looking for the answer — studying how team interactions have changed since millions of workers went remote. In this episode of Think Fast, Talk Smart, they discuss how teams can optimize their communications to keep innovating in a post-pandemic world.",
8,The Price of Cheap Talk: What Economics Teaches Us About Communication,https://www.gsb.stanford.edu/insights/price-cheap-talk-what-economics-teaches-us-about-communication,"In this episode, we explore how economic concepts show up in everyday communication. Are your words credible? Or are they what Paul Oyer calls “cheap talk”? According to Oyer, a professor of economics at Stanford Graduate School of Business, how our words align with our actions isn’t just a matter of communication, but a matter of economics too. Economic concepts hold in all areas of life, which Oyer’s research has explored in everything from Uber driving and online dating to most recently, sports. “Economics is everywhere,” Oyer says. “It’s an incredibly powerful lens to analyze almost anything in the real world.”",
9,"Courage, Belonging, Ambiguity and Data: How to Design Your Communication for Success",https://www.gsb.stanford.edu/insights/courage-belonging-ambiguity-data-how-design-your-communication-success,"In this episode, we dive into four different themes that will help your message stand out. All communication comes from a place of creativity, and creativity is rooted in design. In this episode of Think Fast, Talk Smart, strategic communications lecturer and podcast host Matt Abrahams interviews four authors from the Stanford d.school. Each conversation challenges conventional approaches to communication, whether visual, physical, or verbal. Listen to hear more from Ashish Goel, author of Drawing on Courage; Susie Wise, author of Design for Belonging; Carissa Carter, author of The Secret Language of Maps; and Andrea Small, co author of Navigating Ambiguity.",
